Gene	Gene_ID	Locus	Gene_Size	Mut_Freq	Muts_per_Mbp	Mean_Gain	Mean_Loss	Selected	Num_Lists	fmi_cdx_324	fmi_heme_407	tcga_pancan_299	oncokids_170	goal_core_497	resistance_77	tempus_xt_648	pgdx_elio_505	msk_impact_505	trusight_523	profile_447	mayo_neuro_148	chop_solid_309	intogen_568	chop_heme_211	mayo_heme_42	join_all_1396	goal_full_2640	summary
PIK3R3	ENSG00000117461	01p34.1	5978	0.0104026	1.74	2.6209	1.9123	Y	3								1	1	1							1	1	Encodes a kinase involved in insulin-like growth factor 1 receptor signaling. Inactivating mutations of PIK3R3 are found in stomach and uterine cancers.
PTCH2	ENSG00000117425	01p34.1	5363	0.0797534	14.87	2.6271	1.9146	Y	2							1					1					1	1	
MPL	ENSG00000117400	01p34.2	3681	0.0167598	4.55	2.6467	1.9135	Y	12	1	1		1	1		1	1	1	1	1		1		1	1	1	1	A transmembrane protein receptor, is frequently mutated in myeloproliferative neoplasms including essential thrombocytosis and myelofibrosis.
MYCL	ENSG00000116990	01p34.2	4955	0.0159892	3.23	2.7040	1.9124	Y	8	1	1			1		1	1	1	1	1						1	1	A transcription factor, is altered by overexpression and amplification in various cancer types including small cell lung cancer.
CSF3R	ENSG00000119535	01p34.3	3525	0.055288	15.68	2.6184	1.9050	Y	12	1	1		1	1		1	1	1	1	1			1	1	1	1	1	A transmembrane receptor, is frequently mutated in chronic neutrophilic leukemia and atypical chronic myeloid leukemia.
MACF1	ENSG00000127603	01p34.3	28848	0.272683	9.45	2.6765	1.9110	Y	1			1														1	1	
RRAGC	ENSG00000116954	01p34.3	2709	0.0216721	8.00	2.6581	1.9111	Y	3					1				1					1			1	1	An mTORC1 activator, is mutated in follicular lymphomas.
THRAP3	ENSG00000054118	01p34.3	4656	0.0239838	5.15	2.6167	1.9037	Y	1			1														1	1	
ZC3H12A	ENSG00000163874	01p34.3	2678	0.0219611	8.20	2.6291	1.9074	Y	1			1														1		
AGO1	ENSG00000092847	01p34.3	13888	0.0942015	6.78	2.6128	1.9025	Y	2							1		1								1		An enzyme involved in RNA-mediated gene silencing, is overexpressed in various cancer types.
MEAF6	ENSG00000163875	01p34.3	5568	0.0238875	4.29	2.6307	1.9075	Y	2													1		1		1	1	
STK40	ENSG00000196182	01p34.3	5335	0.0136775	2.56	2.6171	1.9050	Y	3								1	1	1							1	1	Encodes a serine/threonine kinase involved in regulation of NF-κB- and p53-mediated transcription. Altered expression of STK40 is found in ovarian and esophageal cancers, among others.
LCK	ENSG00000182866	01p35.2	2549	0.0188788	7.41	2.5768	1.8900	Y	1							1										1	1	A tyrosine kinase that regulates T-cell receptor signaling, is altered by rearrangement in hematologic malignancies.
HDAC1	ENSG00000116478	01p35.2-p35.1	2174	0.0183009	8.42	2.5783	1.8894	Y	4	1	1					1	1									1	1	A histone deacetylase, is infrequently altered by mutation in liposarcoma.
FGR	ENSG00000000938	01p35.3	3021	0.0160855	5.32	2.5329	1.8616	Y	2													1		1		1	1	
SESN2	ENSG00000130766	01p35.3	3502	0.0298594	8.53	2.5339	1.8635	Y	1									1								1		A regulator of mTORC1, is mutated at low frequencies in various cancer.
ARID1A	ENSG00000117713	01p36.11	9800	0.454344	46.36	2.5236	1.8566	Y	13	1	1	1	1	1		1	1	1	1	1	1	1	1			1	1	A tumor suppressor involved in transcriptional regulation, is inactivated by mutation in various cancer types including endometrial and bladder cancers.
MAP3K6	ENSG00000142733	01p36.11	4554	0.0718551	15.78	2.5297	1.8597	Y	1		1															1	1	
ID3	ENSG00000117318	01p36.12	962	0.00452707	4.71	2.5371	1.8588	Y	9	1	1		1	1			1	1	1	1			1			1	1	Encodes a helix-loop-helix protein involved in transcription. Mutations and overexpression of ID3 are found in a variety of cancers.
SDHB	ENSG00000117118	01p36.13	1047	0.00674244	6.44	2.5461	1.8602	Y	10	1	1			1		1	1	1	1	1	1	1				1	1	Encodes an enzyme involved in the electron transport chain. Germline mutations of SDHB are associated with pheochromocytomas and paragangliomas and gastrointestinal, renal cell and pituitary cancers.
PAX7	ENSG00000009709	01p36.13	6509	0.0173377	2.66	2.5447	1.8602	Y	4				1	1		1			1							1	1	
EPHA2	ENSG00000142627	01p36.13	4014	0.0946831	23.59	2.5622	1.8603	Y	4			1				1	1						1			1	1	
SPEN	ENSG00000065526	01p36.21-p36.13	12445	0.21624	17.38	2.5602	1.8606	Y	9	1	1			1		1	1	1	1			1	1			1	1	Encodes a tumor suppressor that regulates transcription of ERα-target genes and has been associated with tumor growth inhibition. Somatic mutations and loss of heterozygosity of SPEN have been found in breast cancer.
MTOR	ENSG00000198793	01p36.22	9734	0.120593	12.39	2.5664	1.8577	Y	12	1	1	1	1	1		1	1	1	1	1		1	1			1	1	An intracellular kinase that regulates cell growth and metabolism, is infrequently mutated in various cancer types.
KIF1B	ENSG00000054523	01p36.22	16855	0.117704	6.98	2.5652	1.8547	Y	3					1		1				1						1	1	
PIK3CD	ENSG00000171608	01p36.22	5774	0.0559622	9.69	2.5671	1.8531	Y	5					1		1	1	1	1							1	1	Encodes a kinase involved in immune cell regulation. Inactivating mutations of PIK3CD are found in uterine, endometrial and colorectal cancers, among others.
MAD2L2	ENSG00000116670	01p36.22	1943	0.012329	6.35	2.5647	1.8593	Y	2							1		1								1	1	An adaptor protein involved in DNA repair, is altered by mutation and overexpression in various cancer types.
ERRFI1	ENSG00000116285	01p36.23	4179	0.0346754	8.30	2.5653	1.8453	Y	6	1				1		1	1	1	1							1	1	A scaffold protein involved in negative regulation of ERBB receptors, is recurrently altered by mutation and deletion in various cancer types.
TNFRSF9	ENSG00000049249	01p36.23	6029	0.022539	3.74	2.5638	1.8460	Y	2						1	1										1		
RPL22	ENSG00000116251	01p36.31	2435	0.0221537	9.10	2.5756	1.8421	Y	2			1											1			1	1	
CAMTA1	ENSG00000171735	01p36.31-p36.23	9018	0.0564438	6.26	2.5703	1.8466	Y	4				1									1	1	1		1	1	
TNFRSF14	ENSG00000157873	01p36.32	1962	0.0122327	6.23	2.6045	1.8544	Y	9	1	1			1		1	1	1	1			1	1			1	1	A cell surface receptor in the tumor necrosis factor family, is recurrently altered by mutation and deletion in hematologic malignancies.
GNB1	ENSG00000078369	01p36.33	3242	0.0444038	13.70	2.6075	1.8551	Y	2					1				1								1	1	A guanine nucleotide binding protein, is recurrently altered by mutation in myelodysplastic syndromes and acute myeloid leukemia.
TNFRSF18	ENSG00000186891	01p36.33	1291	0.00664612	5.15	2.6094	1.8560	Y	1						1											1		
TNFRSF4	ENSG00000186827	01p36.33	1103	0.00837989	7.60	2.6094	1.8560	Y	1						1											1	1	
NADK	ENSG00000008130	01p36.33	3944	0.0920825	23.35	2.6077	1.8550	Y	1									1								1	1	A metabolic enzyme involved in the conversion of NAD+ to NADPH, is altered by overexpression and mutation in pancreatic and colon cancers.
TXNIP	ENSG00000265972	01q21.1	3224	0.00934309	2.90	3.1799	1.9139	Y	1			1														1	1	
MCL1	ENSG00000143384	01q21.2	4097	0.0984396	24.03	3.2158	1.9840	Y	9	1	1			1		1	1	1	1	1		1				1	1	An anti-apoptotic protein, is amplified in various cancer types.
APH1A	ENSG00000117362	01q21.2	2384	0.0108842	4.57	3.1982	1.9839	Y	1		1															1	1	
BCL9	ENSG00000116128	01q21.2	6229	0.0997881	16.02	3.1712	1.9788	Y	1														1			1	1	A transcriptional adaptor protein, is recurrently altered by chromosomal translocations in hematologic malignancies.
H3C13	ENSG00000183598	01q21.2	473	0.012618	26.68	3.1734	1.9828	Y	2									1	1							1		A histone variant, is infrequently altered by mutation in various cancer types.
H3C14	ENSG00000203811	01q21.2	1660			3.1751	1.9828	Y	2									1	1							1		A histone variant, is infrequently altered by mutation in various cancer types.
H3C15	ENSG00000203852	01q21.2	1660			3.1731	1.9826	Y	1										1							1		A histone variant, is infrequently altered by mutation in various cancer types.
CKS1B	ENSG00000173207	01q21.3	1497	0.00231169	1.54	3.1456	1.9822	Y	2		1					1										1	1	
ZBTB7B	ENSG00000160685	01q21.3	4244	0.0334232	7.88	3.1480	1.9824	Y	2			1											1			1		
SETDB1	ENSG00000143379	01q21.3	4746	0.037854	7.98	3.2087	1.9830	Y	2									1					1			1	1	A histone methyltransferase, is altered by amplification, mutation, and fusion in melanoma, lung cancer, and mesothelioma.
RIT1	ENSG00000143622	01q22	3518	0.00693508	1.97	3.1336	1.9800	Y	7			1		1		1	1	1	1	1						1	1	Encodes a RAS-related GTPase that plays a role in neuronal development and differentiation. Activating mutations in RIT1 are frequent in Noonan syndrome and are found in a variety of cancers, including lung adenocarcinoma, hepatocellular carcinoma and myeloid malignancies.
YY1AP1	ENSG00000163374	01q22	3814	0.0304373	7.98	3.1356	1.9798	Y	1		1															1	1	
MEF2D	ENSG00000116604	01q22	6191	0.0143518	2.32	3.1170	1.9799	Y	0																		1	A transcriptional activator, is altered by rearrangement in acute lymphoblastic leukemia.
NTRK1	ENSG00000198400	01q23.1	4097	0.0457523	11.17	3.1119	1.9793	Y	12	1	1		1	1		1	1	1	1	1		1	1	1		1	1	A receptor tyrosine kinase, is altered by mutation or chromosomal rearrangement in various cancer types including lung and colorectal cancers.
SPTA1	ENSG00000163554	01q23.1	8226	0.0980543	11.92	3.1151	1.9781	Y	4			1		1			1		1							1	1	
NCSTN	ENSG00000162736	01q23.2	2890	0.0167598	5.80	3.1558	1.9800	Y	1		1															1	1	An endoprotease, is infrequently altered by mutation and amplification in a diverse range of cancers.
DDR2	ENSG00000162733	01q23.3	10321	0.0932383	9.03	3.1560	1.9783	Y	9	1	1			1		1	1	1	1	1		1				1	1	A receptor tyrosine kinase, is mutated at low frequencies in various cancers.
SDHC	ENSG00000143252	01q23.3	1332	0.00491235	3.69	3.1684	1.9785	Y	10	1	1			1		1	1	1	1	1	1	1				1	1	Encodes an enzyme involved in the electron transport chain. Germline mutations of SDHC are associated with pheochromocytomas and paragangliomas and gastrointestinal, renal cell and pituitary cancers.
FCGR2A	ENSG00000143226	01q23.3	2701	0.295415	109.37	3.1618	1.9772	Y	1							1										1	1	
FCGR3A	ENSG00000203747	01q23.3	2269	0.252841	111.43	3.1599	1.9772	Y	1							1										1	1	
NECTIN4	ENSG00000143217	01q23.3	3494	0.083221	23.82	3.1820	1.9792	Y	1											1						1	1	
NUF2	ENSG00000143228	01q23.3	2079	0.0127143	6.12	3.1509	1.9783	Y	1									1								1	1	A protein involved in mitosis, is altered by amplification in various cancers.
FASLG	ENSG00000117560	01q24.3	1821	0.020131	11.05	3.1197	1.9770	Y	1				1													1	1	
COP1	ENSG00000143207	01q25.1-q25.2	2906	0.0142554	4.91	3.0910	1.9751	Y	3								1	1	1							1	1	Aka COP1, encodes an E3 ubiquitin-protein ligase involved in the c-Jun signaling pathway that affects apoptosis, cell cycle, and DNA repair. RFWD2 is commonly overexpressed in several cancer types, including gastric, human hepatocellular carcinoma, breast, and ovarian cancer and promotes cell proliferation, transformation, and tumor progression.
ABL2	ENSG00000143322	01q25.2	12478	0.0686766	5.50	3.0771	1.9750	Y	8				1	1		1	1		1			1	1	1		1	1	A tyrosine kinase, is altered by chromosomal rearrangement in acute lymphoblastic leukemia.
DHX9	ENSG00000135829	01q25.3	4605	0.0828357	17.99	3.0811	1.9753	Y	2			1											1			1		
MR1	ENSG00000153029	01q25.3	7888	0.00645348	0.82	3.0708	1.9747	Y	1						1											1		
BRINP3	ENSG00000162670	01q31.1	3160	0.0416105	13.17	3.1074	1.9712	Y	2					1										1		1	1	
CDC73	ENSG00000134371	01q31.2	5937	0.0127143	2.14	3.1065	1.9670	Y	10	1	1			1		1	1	1	1	1		1	1			1	1	A tumor suppressor involved in transcriptional regulation, is altered at low frequencies in various cancer types.
PTPRC	ENSG00000081237	01q31.3-q32.1	7552	0.0357349	4.73	3.0634	1.9681	Y	2			1											1			1	1	
MDM4	ENSG00000198625	01q32.1	10304	0.0105953	1.03	3.1867	1.9725	Y	11	1	1		1	1		1	1	1	1	1		1	1			1	1	A negative regulator of the p53 tumor suppressor, is altered by amplification and overexpression in various cancer types including breast cancer.
BTG2	ENSG00000159388	01q32.1	2737	0.00587555	2.15	3.0885	1.9732	Y	4	1	1	1					1									1	1	
IKBKE	ENSG00000263528	01q32.1	3469	0.0234059	6.75	3.0503	1.9660	Y	8	1	1			1		1	1	1	1			1				1	1	An intracellular kinase, is altered by mutation and overexpression in various cancer types.
PIK3C2B	ENSG00000133056	01q32.1	7822	0.138413	17.70	3.1864	1.9729	Y	7	1				1		1	1		1	1	1					1	1	
ELF3	ENSG00000163435	01q32.1	6200	0.0175303	2.83	3.0622	1.9702	Y	4			1				1		1					1			1	1	A transcriptional activator, is altered by mutation or amplification in various cancer types.
IL10	ENSG00000136634	01q32.1	2942	0.00462339	1.57	3.0517	1.9662	Y	3								1	1	1							1	1	An anti-inflammatory cytokine, is not commonly mutated in cancer.
UBE2T	ENSG00000077152	01q32.1	906	0.00317858	3.51	3.0597	1.9715	Y	2							1				1						1	1	
IRF6	ENSG00000117595	01q32.2	4547	0.035446	7.80	3.0404	1.9613	Y	1			1														1	1	
TRAF5	ENSG00000082512	01q32.3	4146	0.0561549	13.54	3.0245	1.9569	Y	1		1															1	1	A signaling adaptor molecule, is infrequently altered by mutation in lymphomas.
PTPN14	ENSG00000152104	01q32.3-q41	13436	0.298208	22.19	3.0847	1.9548	Y	2											1			1			1	1	
H3-3A	ENSG00000163041	01q42.12	4698	0.0130033	2.77	3.0637	1.9588	Y	12	1		1	1	1		1	1	1	1	1	1	1	1			1	1	A histone variant, is recurrently altered by mutation in various pediatric cancers including pediatric glioblastoma.
PARP1	ENSG00000143799	01q42.12	4369	0.0475824	10.89	3.0634	1.9583	Y	6	1					1		1	1	1		1					1	1	Encodes a nuclear protein modifier enzyme involved in the DNA repair pathway. PARP1 inhibition has been shown to be effective in germline BRCA-deficient tumors, triple-negative breast cancer (TNBC), chronic lymphocytic leukemia, and ovarian serous papillary carcinoma.
ITPKB	ENSG00000143772	01q42.12	7072	0.0438259	6.20	3.0615	1.9580	Y	2					1		1										1	1	
NUP133	ENSG00000069248	01q42.13	5312	0.0436332	8.21	3.0650	1.9565	Y	1			1														1		
H3-4	ENSG00000168148	01q42.13	520	0.00876517	16.86	3.0657	1.9571	Y	2									1	1							1		A histone variant, is infrequently altered by mutation in various cancer types.
PGBD5	ENSG00000177614	01q42.13	11094	0.0200347	1.81	3.0696	1.9563	Y	1									1								1		A DNA transposase that mediates transposon movement in the genome, is involved in the initiation of chromosomal rearrangements in childhood cancers.
EGLN1	ENSG00000135766	01q42.2	4355	0.00760932	1.75	3.0765	1.9567	Y	2							1				1						1	1	
SPRTN	ENSG00000010072	01q42.2	5466	0.0104989	1.92	3.0769	1.9567	Y	1									1								1		A metalloprotease that functions as a DNA repair protein, is recurrently altered by mutation in early-onset hepatocellular carcinoma.
ARID4B	ENSG00000054267	01q42.3	6497	0.0942978	14.51	3.0980	1.9561	Y	0																		1	A DNA binding protein that mediates E2F binding, is infrequently mutated in a diverse range of cancers.
FH	ENSG00000091483	01q43	1831	0.0106916	5.84	3.1120	1.9581	Y	8	1				1		1	1	1	1	1			1			1	1	A tumor suppressor and an enzyme that converts fumurate to malate. Germline mutations of FH are associated with hereditary leiomyomatosis and renal cell cancer.
EXO1	ENSG00000174371	01q43	3513	0.115874	32.98	3.1021	1.9591	Y	1											1						1	1	
AKT3	ENSG00000117020	01q43-q44	7609	0.0117511	1.54	3.1201	1.9609	Y	12	1	1			1		1	1	1	1	1	1	1	1	1		1	1	An intracellular kinase, is altered by mutation or amplification in various cancer types.
SMYD3	ENSG00000185420	01q44	2356	0.00886149	3.76	3.1047	1.9559	Y	1									1								1		A histone methyltransferase and transcriptional activator, is amplified in a subset of breast and other cancers.
TET3	ENSG00000187605	02p13.1	11525	0.0656906	5.70	2.7371	1.9718	Y	0																		1	An epigenetic enzyme that catalyzes cytosine oxidation, is altered by mutation in hematopoietic malignancies.
PCBP1	ENSG00000169564	02p13.3	1731	0.012329	7.12	2.7341	1.9708	Y	4		1	1				1							1			1	1	An RNA binding protein, is recurrently altered by mutation in Burkitt's lymphoma and gastrointestinal adenocarcinomas.
XPO1	ENSG00000082898	02p15	5493	0.0571181	10.40	2.7802	1.9730	Y	11	1	1	1		1		1	1	1	1	1		1	1			1	1	Encodes a protein that mediates nuclear export of proteins and RNA. It acts as an oncogene in various tumor types by exporting tumor suppressors from the nucleus to the cytoplasm of tumor cells.
FANCL	ENSG00000115392	02p16.1	1758	0.00780196	4.44	2.7630	1.9687	Y	7	1	1			1		1	1		1	1						1	1	An E3 ubiquitin ligase involved in DNA repair, is infrequently altered in cancer. Germline mutations of FANCL are associated with the cancer predisposition syndrome Fanconi Anemia.
REL	ENSG00000162924	02p16.1	11301	0.0173377	1.53	2.7815	1.9730	Y	6	1				1			1	1	1	1						1	1	A transcription factor, is most frequently altered by mutation or amplification in B-cell lymphomas.
MSH6	ENSG00000116062	02p16.3	8473	0.0642458	7.58	2.7597	1.9702	Y	13	1	1	1	1	1		1	1	1	1	1	1	1		1		1	1	A tumor suppressor involved in post-replication DNA mismatch repair. Select mutations of MSH6 are associated with Lynch syndrome and can lead to genomic instability via microsatellite instability in tumors.
FBXO11	ENSG00000138081	02p16.3	5073	0.0230206	4.54	2.7576	1.9699	Y	4		1			1		1							1			1	1	A component of the SCF ubiquitin ligase complex, is recurrently altered by mutation in lymphomas.
EPAS1	ENSG00000116016	02p21	5219	0.0811982	15.56	2.7558	1.9685	Y	4			1					1	1					1			1	1	A hypoxia-related transcription factor, is mutated or amplified in a small subset of human cancers.
EPCAM	ENSG00000119888	02p21	1965	0.017723	9.02	2.7664	1.9701	Y	6					1		1	1	1	1	1						1	1	A transmembrane glycoprotein, is overexpressed in various cancer types.
ZFP36L2	ENSG00000152518	02p21	3701	0.0599114	16.19	2.7474	1.9646	Y	1			1														1		
EML4	ENSG00000143924	02p21	5675	0.0578887	10.20	2.7388	1.9666	Y	2										1				1			1	1	
THADA	ENSG00000115970	02p21	11473	0.0752264	6.56	2.7406	1.9636	Y	2													1		1		1	1	
MSH2	ENSG00000095002	02p21-p16.3	9276	0.0185899	2.00	2.7614	1.9707	Y	12	1	1	1		1		1	1	1	1	1	1	1		1		1	1	A tumor suppressor involved in DNA mismatch repair. Select mutations of MSH2 are associated with Lynch syndrome and can lead to genomic instability in tumors.
SOS1	ENSG00000115904	02p22.1	8410	0.027644	3.29	2.7386	1.9665	Y	6			1		1				1		1	1		1			1	1	A RAS activator, is altered at low frequencies in various cancers.
ALK	ENSG00000171094	02p23.2-p23.1	6731	0.134463	19.98	2.7444	1.9684	Y	13	1	1	1	1	1		1	1	1	1	1		1	1	1		1	1	A receptor tyrosine kinase, is recurrently altered by chromosomal rearrangements in various cancer types including anaplastic large cell lymphoma, non-small cell lung cancer and inflammatory myofibroblastic tumors.
DNMT3A	ENSG00000119772	02p23.3	10880	0.0834136	7.67	2.7307	1.9620	Y	15	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	A tumor suppressor and DNA methyltransferase, is recurrently mutated in acute myeloid leukemia and other hematologic malignancies
ASXL2	ENSG00000143970	02p23.3	12969	0.132152	10.19	2.7329	1.9603	Y	7			1	1				1	1	1				1	1		1	1	A tumor suppressor and epigenetic regulator, is inactivated by mutation in various cancer types including acute myeloid leukemia.
CAD	ENSG00000084774	02p23.3	7462	0.0987286	13.23	2.7450	1.9673	Y	1		1															1	1	
CENPA	ENSG00000115163	02p23.3	1409	0.0027933	1.98	2.7391	1.9664	Y	2									1	1							1		A histone variant in centromere-associated chromatin, is altered by amplification and overexpression in various cancer types.
APOB	ENSG00000084674	02p24.1	14948	0.183972	12.31	2.7338	1.9618	Y	2			1				1										1	1	
RHOB	ENSG00000143878	02p24.1	2371	0.00799461	3.37	2.7411	1.9616	Y	1			1														1	1	
GEN1	ENSG00000178295	02p24.2	10127	0.0212868	2.10	2.7445	1.9614	Y	4					1		1			1	1						1	1	
MYCN	ENSG00000134323	02p24.3	2628	0.0157003	5.97	2.7946	1.9613	Y	13	1	1	1	1	1		1	1	1	1	1	1	1	1			1	1	A transcription factor, is altered by amplification and overexpression in a variety of cancer types including in neuroblastoma.
DUSP2	ENSG00000158050	02q11.2	1701	0.0117511	6.91	2.7799	1.9787	Y	1		1															1	1	
INPP4A	ENSG00000040933	02q11.2	10469	0.0316895	3.03	2.7563	1.9767	Y	3								1	1	1							1	1	A lipid phosphatase involved in PI3K signaling, is altered in various cancer types including mesothelioma and asbestos-exposed lung adenocarcinoma.
TMEM127	ENSG00000135956	02q11.2	6392	0.0933346	14.60	2.7802	1.9781	Y	5							1	1	1	1	1						1	1	A transmembrane protein and tumor suppressor identified in pheochromocytoma and paraganglial tumors, in which hereditary variants are found.
RGPD3	ENSG00000153165	02q12.2	7535	0.393566	52.23	2.7140	1.9714	Y	1														1			1		
BCL2L11	ENSG00000153094	02q13	6135	0.00770564	1.26	2.6985	1.9663	Y	5			1				1	1	1	1							1	1	A tumor suppressor and pro-apoptotic protein, is altered by mutation in various cancer types.
MERTK	ENSG00000153208	02q13	4413	0.0372761	8.45	2.7036	1.9675	Y	2	1							1									1	1	
RANBP2	ENSG00000153201	02q13	11824	0.122712	10.38	2.7109	1.9701	Y	5					1		1	1		1				1			1	1	
PAX8	ENSG00000125618	02q14.1	4253	0.0411289	9.67	2.7239	1.9674	Y	4					1		1	1		1							1	1	A transcription factor, is overexpressed in various cancer types and chromosomal rearrangements involving this gene are found in thyroid cancers.
FOXD4L1	ENSG00000184492	02q14.1	2495	0.238008	95.39	2.7199	1.9683	Y	1														1			1		
GLI2	ENSG00000074047	02q14.2	7243	0.0613562	8.47	2.7143	1.9615	Y	4				1			1				1	1					1	1	
ERCC3	ENSG00000163161	02q14.3	2857	0.119341	41.77	2.6749	1.9543	Y	7					1		1	1	1	1	1			1			1	1	A tumor suppressor and helicase involved in DNA repair, is infrequently altered in cancer. Germline mutations of ERCC3 are associated with Cockayne's syndrome, xeroderma pigmentosum and trichothiodystrophy, and may predispose to breast cancer.
ZRANB3	ENSG00000121988	02q21.3	7960	0.0661722	8.31	2.6615	1.9488	Y	1						1											1		
CXCR4	ENSG00000121966	02q22.1	2007	0.00866885	4.32	2.6637	1.9503	Y	10	1	1			1	1	1	1	1	1	1			1			1	1	A chemokine receptor, is altered in various solid and hematologic malignancies including lymphoplasmacytic lymphoma.
LRP1B	ENSG00000168702	02q22.1-q22.2	16214	0.21624	13.34	2.6619	1.9460	Y	7		1			1		1	1		1		1		1			1	1	
ACVR2A	ENSG00000121989	02q22.3-q23.1	5456	0.077827	14.26	2.6683	1.9495	Y	2			1											1			1	1	
ACVR1	ENSG00000115170	02q24.1	4301	0.0259102	6.02	2.6948	1.9579	Y	10			1	1			1	1	1	1	1	1	1	1			1	1	A receptor protein, is mutated in various cancer types including diffuse intrinsic pontine glioma (DIPG).
PDK1	ENSG00000152256	02q31.1	14263	0.00953573	0.67	2.7043	1.9589	Y	6	1	1			1		1	1		1							1	1	
NFE2L2	ENSG00000116044	02q31.2	4163	0.0297631	7.15	2.7157	1.9585	Y	11	1	1	1		1		1	1	1	1	1		1	1			1	1	A transcription factor involved in oxidative stress response, is recurrently altered by mutation in lung cancer.
